# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿吖锕錒
qing	情轻倾卿庆擎晴氢氰清请青顷圊檠磬箐綮罄苘蜻謦鲭黥傾凊勍埥廎慶掅擏樈殑氫漀碃葝請輕郬鑋靘頃儬剠夝寈庼暒棾檾櫦殸淸濪甠硘靑
qiong	琼穷穹筇茕蛩跫邛銎惸憌桏橩煢璚瓊瓗瞏窮笻舼藑藭蛬赹儝卭宆焪焭熍睘竆
qiu	丘囚求泅球秋邱酋俅巯楸犰糗虬蚯蝤裘赇逑遒鳅鼽唒坵媝崷巰恘梂殏毬煪璆盚紌絿緧莍萩蓲虯蛷蝵蟗蠤觓觩訄賕趥釚銶鞦鮂鯄鰍鰽鶖丠叴扏搝汓浗渞湭玌皳秌穐篍肍蘒訅逎醔釻鞧鰌鹙龝
qu	去区取娶屈曲渠蛆趋趣躯驱龋劬岖朐氍璩癯瞿磲祛蕖蘧蛐蠼衢觑诎阒鸲麴黢佉佢刞區呿岨嶇抾敺斪欋浀淭灈竘籧紶絇翑胊胠臞菃葋蝺螶蟝蠷袪覷詘趨躣軀軥镼闃阹驅髷魼鱋鴝麮鼁鼩齲伹匤厺唟坥岴忂憈戵璖竬筁粬耝衐覰覻詓誳迲鑺閴駆駈鰸鸜麯麹
quan	全券劝圈拳权泉犬痊醛颧悛犭畎筌绻荃蜷诠辁铨鬈佺勸埢姾婘巏弮恮惓棬權汱烇牶牷犈瑔絟綣縓虇蠸觠詮跧踡輇銓鐉韏顴駩齤勧啳圏奍孉峑搼椦楾権洤湶硂葲闎騡鰁鳈
que	却榷炔瘸确缺雀鹊悫阕阙卻埆塙愨搉皵硞碏確碻礐礭蒛闋闕鵲墧崅慤燩琷趞
qun	群裙逡囷宭峮夋帬羣裠
ran	然冉染燃苒蚺髯呥姌橪珃袡冄嘫媣繎肰蒅蚦衻袇髥
rang	嚷壤攘瓤让禳穰儴勷懹瀼爙獽纕蘘讓躟鬤壌穣譲
rao	扰绕饶娆桡荛嬈擾橈繞蕘襓遶隢饒
re	热惹熱
ren	人仁任刃壬妊忍纫认韧亻仞稔荏葚衽轫饪屻栠棯牣紉紝肕腍芢荵訒認軔銋韌飪鵀仭刄姙岃忈忎扨朲杒栣梕祍秂秹絍綛纴袵讱躵鈓靭靱餁魜
reng	仍扔礽陾芿辸
ri	日鈤馹囸釰驲
rong	冗容戎溶熔绒茸荣蓉融嵘榕狨肜蝾傇媶嫆嶸巆榮榵毧氄瀜烿爃瑢絨羢茙蠑褣軵鎔駥髶坈嬫宂峵嵤搈搑曧栄穁穃縙螎镕
rou	肉揉柔糅蹂鞣厹媃楺煣禸粈葇蝚輮鍒韖騥鰇鶔宍渘瑈瓇腬
ru	如乳儒入孺汝茹蠕褥辱嚅洳溽濡缛蓐薷襦铷颥侞嗕媷嬬帤擩曘燸筎縟蒘蕠蝡袽鄏醹銣鴽嶿扖杁桇渪肗邚顬鱬鳰鴑
rua	挼
ruan	软阮朊堧壖撋瓀礝緛耎軟偄媆瑌碝輭
rui	瑞蕊锐枘睿芮蕤蚋叡婑桵橤汭緌繠銳壡甤蕋蘂蘃蜹鋭
run	润闰橍潤閏瞤膶閠
ruo	弱若偌箬婼捼楉渃爇篛蒻鄀鶸叒嵶焫鰙鰯
sa	撒洒萨仨卅挲脎飒摋泧灑薩躠鈒隡靸颯馺挱櫒潵虄訯钑
sai	塞腮赛鳃噻僿揌毢毸賽鰓嗮嘥愢簺顋
san	三伞叁散毵糁馓傘帴毿糝繖鏒鏾閐鬖仐俕厁壭弎橵毶犙糂糣糤饊
sang	丧嗓桑搡磉颡喪褬鎟顙桒槡
sao	嫂扫搔骚埽瘙缫臊鳋慅掃氉溞矂繅騷鱢掻螦騒髞鰠
se	涩瑟色啬穑铯嗇栜澀濇濏璱穡譅轖銫鏼飋懎擌歮歰渋澁瀒琗瘷穯繬閪雭
sen	森槮襂椮
seng	僧鬙
sha	傻刹厦啥杀沙煞砂纱莎唼嗄歃痧裟铩霎鲨剎唦啑喢廈樧殺猀硰箑紗繌翜翣萐蔱鎩魦鯊乷倽儍帹桬榝毮粆閯鯋
shai	晒筛曬篩簁繺釃閷簛
shan	山删善扇擅杉汕煽珊缮膳苫衫赡闪陕剡埏姗嬗彡潸疝膻舢芟蟮讪跚鄯钐骟鳝刪剼墠墡姍幓挻搧晱柵樿潬灗煔狦痁睒笘縿繕羶蟺覢訕謆贍赸釤閃陝騸鱔傓僐嘇圸嶦敾椫檆歚澘炶熌磰羴脠譱軕邖銏鐥閊饍鯅鱓鿃
shang	上伤商墒尚晌裳赏垧殇熵绱觞傷恦殤漡蔏螪觴謪賞鞝鬺丄尙慯扄滳緔贘鑜
shao	少勺哨捎梢烧稍绍芍邵韶劭潲筲艄苕蛸卲弰旓燒玿睄紹莦蕱袑輎髾鮹娋柖焼綤颵
she	奢射慑摄涉社舌舍蛇设赊赦佘厍歙滠猞畲麝厙慴懾捨摵攝檨涻灄畬蔎蠂設賒輋韘騇弽摂欇渉舎虵蛥賖
shei	谁
shen	身深什伸呻娠婶审慎沈渗甚申砷神绅肾哂椹渖矧胂莘蜃诜谂侁侺兟堔妽姺嬸審屾峷曋柛棽氠滲瀋燊珅甡眒瞫祳籸紳罧脤腎葠蔘蜄覾詵諗讅邥鋠駪鯓宷弞愼扟敒昚曑榊涁甧瘆瘮眘矤穼籶罙蓡薓裑訠訷谉頣魫鯵鰰鰺鲹鵢
sheng	生剩升圣声牲甥盛省绳胜嵊眚笙偗勝呏憴昇泩渻湦焺狌繩聖聲譝貹賸鉎陞鵿鼪剰墭斘晠曻枡栍榺橳殅珄琞竔縄苼蕂鍟阩陹
shi	是时事十世使石视市师仕侍势匙史嗜噬士失始实室尸屎式恃拭拾施柿氏湿狮矢示虱蚀誓识试诗适逝释食饰驶埘弑炻礻筮舐莳蓍螫谥豕贳轼酾铈饣鲥鲺勢塒奭姼媞寔實屍崼師弒徥忕恀戺揓時栻榯湜湤溡溮溼澨濕烒獅祏簭絁葹蒔蝕蝨褷襫襹視觢試詩諟諡謚識貰軾適遾邿釋鈰鉈鉐鉽銴飾駛鰣鰤鳲鶳鼫鼭丗乨乭亊佦兘冟卋叓呞呩嬕実宩峕嵵旹昰枾柹榁浉煶瑡眂眎眡睗竍笶篒籂舓蒒辻遈釈釶鉂鉃鉇鍦飠餙餝鮖鯴鰘鳾鸤
shou	手兽受售守寿授收瘦首扌狩绶艏壽獸綬収垨夀涭獣痩膄鏉龵
shu	树书叔墅孰属庶恕戍抒数暑曙术束枢梳殊淑漱熟疏竖署舒蔬薯蜀赎输述黍鼠倏塾姝摅殳毹沭澍秫纾腧菽儵咰婌尌屬怷攄數書朮杸樞樹橾潻焂瑹癙糬紓綀藷虪術裋襡襩豎贖跾軗輸鄃鉥鏣陎隃鮛鵨鶐鸀侸倐尗庻捒掓暏毺潄濖瀭璹疎竪絉荗蒁薥蠴踈錰鱪鱰鼡
shua	刷耍唰誜
shuai	帅摔甩衰蟀帥卛
shuan	拴栓涮闩閂腨
shuang	双爽霜孀塽孇慡樉漺灀礵縔艭雙驦鷞欆鏯騻骦鸘鹴
shui	水睡税氵帨涗稅脽裞誰氺涚祱閖
shun	吮瞬舜顺瞚蕣順鬊橓
shuo	说朔烁硕妁搠槊蒴铄欶爍獡碩箾說鎙鑠哾矟説
si	四丝似司嗣嘶寺巳思撕斯死私肆饲兕厮厶咝姒汜泗澌祀笥纟缌耜蛳锶驷鸶俬儩凘廝柶楒榹泀洍涘磃禗禠絲緦罳肂蕬蕼虒蜤螄蟴覗貄鈶鉰颸飼駟鷥鼶亖佀価噝娰媤孠恖杫泤瀃燍牭禩竢籭糹蟖釲鈻銯鋖鐁飔飤騦
song	宋怂松耸讼诵送颂凇崧嵩忪悚淞竦菘倯傱娀嵷愯慫濍硹聳蜙訟誦鍶頌駷鬆庺憽枀枩柗梥楤檧鎹餸
sou	嗽搜擞艘叟嗖嗾溲瞍薮螋锼飕馊廋擻獀籔蒐藪鄋醙鎪颼颾餿騪傁凁叜廀捜摉摗櫢瘶蓃
su	俗僳塑宿溯粟素肃苏诉速酥嗉夙愫涑稣簌蔌觫谡傃囌嫊愬憟梀榡樕橚櫯泝洬潚玊甦穌窣縤肅膆莤藗蘇訴謖蹜鋉餗驌鱐鷫塐樎殐溸潥珟璛碿粛蘓趚遡遬骕鯂鹔
suan	算蒜酸狻匴痠筭祘笇
sui	岁碎祟穗绥虽遂隋随隧髓濉燧眭睢荽谇邃倠哸埣旞檖歲浽滖瀡璲睟禭穟綏繀繐繸荾襚誶賥鐆鐩隨雖亗夊嬘嵗歳澻煫熣瓍砕穂膸芕譢遀鞖韢髄
sun	孙损笋榫狲荪隼飧孫損搎槂猻筍簨蓀蕵薞鎨箰飱鶽
suo	所唆梭琐索缩蓑锁唢嗍嗦娑桫睃羧傞嗩惢摍溹瑣璅簑縮莏趖逤鎈鎍鎖乺暛溑琑簔蜶褨鎻鏁髿鮻
ta	他她它塌塔拓挞獭踏蹋榻溻趿遢铊闼鳎嚃搨撻榙毾涾濌牠獺祂禢褟誻遝錔闒闥鞜鞳鰨侤咜嚺墖崉橽澾狧譶蹹躢闧阘鮙鿎
tai	太台态抬汰泰胎苔酞炱肽薹跆邰钛鲐儓嬯態旲檯溙燤箈籉臺鈦颱駘鮐冭囼坮夳孡忲擡枱炲粏舦菭
tan	叹坍坛坦探摊檀毯滩潭炭痰瘫碳袒谈谭贪忐昙覃郯钽锬倓傝僋嗿嘆埮壇婒怹惔憛憳攤暺曇榃歎湠灘燂痑癱磹罈舑舕菼藫襢談譚譠貚貪賧醓醰鉭錟顃餤墰墵壜憻擹璮罎醈
tang	倘唐堂塘搪棠汤淌烫糖膛趟躺傥帑樘溏瑭羰耥螗螳醣铴镗儻戃摥曭榶橖湯漟煻燙爣矘磄蓎薚蝪赯踼蹚鎕鎲鏜鐋钂闛餳鶶鼞伖偒傏劏啺嘡坣埫禟篖糃糛膅鄌镋隚鞺餹饄
tao	套掏桃涛淘滔绦萄讨逃陶啕洮焘韬饕鼗匋咷嫍幍弢慆搯槄檮濤祹絛綯縚蜪討醄鋾錭鞀韜駣騊夲梼瑫縧绹裪詜謟轁迯鞉鞱飸饀
te	特忑忒慝铽蟘貣鋱
teng	疼腾藤誊滕熥痋籐縢螣謄邆霯騰儯幐漛籘膯虅駦驣鰧鼟
ti	体剃剔啼嚏屉惕提替梯涕踢蹄锑题倜悌绨缇荑裼逖醍鹈偍厗屜崹徲悐惿揥擿楴殢洟瓋稊籊綈緹蕛薙蝭褅褆謕趧趯銻鍗題騠體鯷鵜鶗鶙鷈鷤嗁嚔惖戻挮掦朑歒漽瑅碮禵笹罤苐蹏躰軆逷遆骵髰鬀鮧鮷鳀鴺鷉
tian	天田填恬添甜腆舔忝掭殄畋阗倎婖屇悿搷晪沺淟湉琠瑱痶盷睼磌窴緂菾賟酟鈿錪闐靦餂鷏兲唺塡璳甛畑畠睓碵胋舚覥觍鍩靔靝鴫鷆黇鿬
tiao	挑条眺跳迢佻祧窕笤粜蜩髫鲦龆嬥宨岧庣恌斢朓條祒窱糶絩脁芀蓨覜誂趒鎥鞗鯈鰷齠岹旫晀樤聎萔蓚螩鋚
tie	帖贴铁萜餮僣呫怗聑蛈貼銕鐵驖鴩鐡飻
ting	庭亭停厅听廷挺汀烃艇婷梃町莛葶蜓铤霆侹圢娗嵉廳桯楟榳渟烴烶珽筳綎聤聽脡艼蝏閮頲鼮厛庁廰涏甼耓聴聼誔諪邒鞓颋
tong	同痛彤捅桐桶瞳童筒统通酮铜仝佟僮嗵恸潼砼茼哃慟曈朣橦氃浵炵烔犝狪獞痌穜筩粡統膧蓪衕詷赨鉖銅餇鮦勭囲峂峝庝憅晍樋燑眮秱綂蚒鉵鲖
tou	头偷投透亠骰妵媮敨紏緰蘣鋀頭黈偸婾綉鍮飳
tu	土兔凸吐图屠徒涂秃突途堍荼菟酴钍唋圖塗峹嵞嶀廜怢悇捈捸梌涋湥潳瘏禿稌筡腯葖蒤跿釷鍎駼鵌鵚鵵鶟鷋鷵鼵兎凃図圕圗圡堗宊庩揬汢痜莵迌鈯鋵馟
tuan	团湍彖抟疃剸團慱摶槫漙煓篿糰褖貒鏄鷒鷻団檲湪猯
tui	推腿蜕褪退颓煺侻俀僓弚穨蓷藬蛻蹪隤頹駾魋娧尵蘈蹆頺頽骽
tun	吞屯臀暾氽豚饨啍坉忳旽涒焞畽芚軘飩魨呑噋朜臋豘霕鲀黗
tuo	唾妥托拖椭脱陀驮驼鸵乇佗坨庹柁柝橐沱沲砣箨跎酡鼍侂堶嫷岮扡挩橢毤毻沰碢籜紽脫莌蘀袉託跅飥馱駝驒鬌魠鮀鴕鼉仛咃圫媠彵拕捝杔楕槖汑涶狏砤萚袥讬迱陁饦駄駞騨驝鰖鵎鼧鿳鿸
wa	哇娃挖洼瓦蛙袜佤娲腽嗢媧溛漥穵窊窪膃襪劸咓嗗屲搲攨瓲畖砙聉邷韈韤鼃
wai	外歪崴喎夞竵顡
wan	万晚丸婉完宛弯惋挽湾烷玩皖碗腕豌顽剜琬畹纨绾脘芄菀蜿倇刓卍婠岏彎忨抏捖捥晥晼汍潫澫灣睕瞣紈綩綰翫脕萬薍蟃踠輐輓鋄頑卐唍埦塆壪帵晩杤梚椀琓盌笂萖貦贃贎鋔錽鎫
wang	亡妄往忘旺望枉汪王网尢惘罔辋魍尪暀朢瀇盳網莣菵輞迋亾仼兦尣尩尫彺徃徍棢罒蚟蛧蝄誷龬
wei	为位伟伪卫危味唯喂围委威尉尾巍微惟慰未桅渭潍畏纬维胃苇萎蔚谓违韦魏偎囗圩娓嵬帏帷沩洧涠炜煨猥猬玮痿艉葳薇诿軎逶闱隈隗韪鲔亹偉偽儰喡圍壝媦寪峗峞崣幃廆徫愄揋撱斖暐椲椳欈洈浘渨湋溈溦潿濰濻瀢為烓煒煟燰犚犩瑋痏癓碨磈磑維緯罻腲芛菋葦葨蒍蓶薳藯蘶蜲蜼蝛蝟衛褽覣覹詴諉謂讆踓躗違鄬醀鍏鍡鏏闈隇霨霺韋韙韡頠餧餵饖骫鮇鮠鮪僞厃叞喴墛媁媙屗嵔嶶愇懀捤揻梶楲潙煀熭爲琟璏硙緭縅苿荱蔿螱衞讏躛轊韑颹骩骪鰃鰄鳂鳚
wen	文问吻温瘟稳紊纹蚊闻刎汶玟璺阌雯呡問塭妏抆搵桽殟溫炆穩紋聞芠豱轀閺閿闅顐駇魰鳼鼤匁呚彣忟揾昷榅榲渂珳瑥瘒穏肳脗莬蕰蚉螡蟁輼辒鎾闦鞰饂馼鰛鰮鳁鴍
weng	嗡瓮翁蓊蕹塕暡滃甕瞈罋聬螉鶲齆勜奣嵡攚鎓鹟
wo	我卧挝握斡沃涡窝蜗倭幄渥硪肟莴龌仴偓婐捰撾擭涴渦濣焥猧瓁瞃窩腛臒臥萵蝸踒雘齷唩媉捾枂楃涹
wu	无五屋乌伍侮务勿午吴吾呜坞巫悟戊捂晤梧武毋污物舞芜诬误钨雾仵兀唔圬妩婺寤庑忤怃杌浯焐牾痦芴蜈迕邬鋈阢骛鹉鹜鼯俉倵剭務卼吳啎嗚塢嫵屼岉峿嵨廡憮扤摀杇橆歍汙洖洿潕烏無玝珸甒矹碔窏粅莁蕪蘁螐誣誤譕躌逜郚鄔鎢雺霧靰騖鯃鴮鵡鶩鷡齀乄伆儛呉奦娪娬嵍弙忢悞悮敄旿汚溩熃熓珷瑦璑祦禑窹箼茣蟱誈錻铻隖霚鰞鵐鹀鼿
xi	西喜习吸嘻夕媳希席息悉惜戏昔晰析檄汐洗溪烯熄熙牺犀矽硒稀系细膝袭铣锡隙僖兮唏奚嬉屣徙曦樨欷浠淅熹玺皙禊禧穸粞羲翕舄舾菥葸蓰蜥螅蟋觋郗醯阋隰饩鼷係俙傒凞卌呬咥囍屖屭嶍嶲巇徆徯忥怬恄恓悕惁慀戲扱晞枲桸榽槢橀欯歖氥滊漇潝潟焟熂燨爔犧狶琋璽瘜盻睎磎礂窸細綌緆縰繫習肸莃蒠蓆蕮薂虩螇蟢蠵衋襲覡覤觿諰謑謵譆谿豨豯貕赩蹝郋郤鄎酅釐釳釸錫鎴鑴闟雟霫飁餼騱騽驨鬩鰼鵗鸂黖匸卥厀唽喺噏嚱墍壐嬆屃嵠忚怸憘憙戱扸晳暿椞椺橲渓漝澙焁焈焬煕熈熺熻犔犠瞦矖磶稧糦縘繥绤翖肹舃葈蒵覀觹觽豀赥趇趘躧邜鈢鉨鉩鏭隟隵霼餏饻鯑鱚鳛
xia	下侠匣吓夏峡暇狭瞎虾辖霞呷柙狎瑕硖罅遐黠俠嚇峽烚煆狹珨硤碬磍祫縖舝舺蕸蝦赮轄鍜鏬閜陜颬騢魻鶷丅乤傄叚圷夓懗敮梺炠疜疨睱筪縀翈虲谺鎋鎼閕陿鰕
xian	先闲仙县咸嫌宪弦掀显涎献现纤线羡腺舷衔贤锨限险陷馅鲜冼娴岘暹氙燹猃痫祆筅籼苋莶藓蚬跣跹酰霰鹇仚伭佡僊僩唌啣嘕壏奾妶姭娊娹嫻嬐孅尟屳峴嶮幰廯忺憪憲憸搟撊撏攇攕晛杴枮毨涀澖瀗灦烍獫獮獻玁珗現癇睍礥禒秈粯糮絃線縣纖羨胘莧薟蘚蚿蛝蜆褼襳誸諴譣豏賢赻躚銑銛銜鋧錎鍌閑閒險韅韱顯餡馦鮮鶱鷳鷴鹹麙鼸僲僴咞哯垷娨婱嫺尠崄挦橌櫶湺狝甉癎県瞯稴箲絤綫繊纎缐臔臽苮藖衘誢贒蹮輱醎鍁鑦铦陥険韯顕鱻鷼麲
xiang	想乡享像厢向响巷橡湘相祥箱翔襄详象镶项香庠缃芗葙蟓飨饷骧鲞嚮姠廂忀晑曏欀瓖瓨緗缿膷萫薌蠁衖襐詳鄉銗鐌鑲響項餉饗饟驤鯗鱌亯佭勨啌塂嶑栙楿珦稥絴蚃跭郷鄊鄕銄鮝鱜鱶麘
xiao	小校哮啸嚣孝宵效晓消淆硝笑肖萧销霄哓崤枭枵潇筱箫绡逍骁魈傚呺嘐嘯嘵囂庨憢揱曉梟櫹歊殽毊洨涍瀟灱熽猇獢痚痟皛穘窙筊篠簫綃翛膮萷蕭藃虈虓蟂蠨詨謏踃郩銷驍髇髐鴞鷍侾俲効咲嘋嘨嚻婋宯彇恷敩斅斆暁歗灲焇皢硣筿簘蟏蟰訤誟誵鴵鸮
xie	些写协卸屑懈挟携斜械楔歇泄泻胁蝎蟹谐谢邪鞋亵偕勰廨撷榍榭渫瀣燮獬绁缬薤躞邂伳偞偰僁劦協嗋垥奊媟寫屧嶰愶拹挾揳擷攜洩澥瀉灺焎熁燲猲瑎祄紲絏緳繲纈脅薢蝢蠍褉褻襭諧謝鞢韰頡齂齘齛齥龤冩卨噧塮夑娎屓屟峫徢恊擕旪暬炧炨烲爕禼糏絬綊緤缷翓脇脋膎藛蠏衺讗鞵
xin	心信新忻欣芯薪衅辛锌囟忄昕歆鑫馨伈妡廞杺枔炘焮盺舋襑訢釁鈊鋅鐔阠馫伩俽噺嬜孞惞脪訫軐邤顖馸
xing	行兴刑型姓幸形性惺星杏猩腥邢醒悻擤硎荇荥陉饧侀倖垶娙婞洐涬滎煋瑆箵興莕蛵觲鈃鉶鋞陘騂哘嬹曐皨睲篂緈臖裄觪謃郉銒钘铏骍鮏鯹鿿
xiong	兄凶匈汹熊胸雄芎兇哅忷恟敻洶詗匂夐焸焽胷訩詾讻诇賯
xiu	休修嗅朽秀绣羞袖锈咻岫庥溴貅馐髹鸺樇滫潃烋珛琇糔繡脙脩臹苬螑褎銝鎀鏽饈鵂俢峀烌璓綇繍褏銹鏅鏥飍髤鮴鱃齅
xu	叙吁嘘墟婿序徐恤戌旭絮绪续蓄虚许酗需须勖栩洫溆煦盱糈胥蓿诩醑顼侐冔勗卹呴喣噓垿姁嬃幁怴慉揟敘旴昫晇暊楈欨欻歔殈沀湑漵烅烼獝珝瞁瞲稰窢緒縃繻續芧蕦藇藚虛蝑訏許訹詡諝鄦銊鑐須頊驉鬚魆魖鱮伵俆偦壻媭敍朂槒欰汿潊珬疞盢盨稸続緖聓聟蒣虗裇譃谞賉魣
xuan	喧宣悬旋玄癣眩绚轩选儇揎暄楦泫渲漩炫煊璇痃碹萱谖铉镟咺媗嫙愃愋懁懸昍昡晅梋楥烜玹琁琄瑄璿癬眴矎禤絢縼翾萲蓒蔙蜁蝖蠉衒袨諠諼讂贙軒選鉉鋗鍹鏇鞙顈駽吅塇弲怰暶檈睻箮縇繏翧蕿藼蘐譞颴鰚
xue	学雪削穴薛血靴噱泶谑踅鳕吷壆學岤嶨澩燢狘疶蒆袕觷謔趐鱈鷽乴坹峃斈桖樰瀥膤艝茓轌辥辪雤鞾鸴
xun	勋寻巡循旬殉汛熏训讯询迅逊驯埙峋巽徇恂曛洵浔獯荀荨蕈薰醺鲟侚勛勳噀噚塤壎尋愻揗攳栒潠潯灥焄燅燖燻珣璕矄稄紃纁臐蔒蟳訊訓詢迿遜鄩馴鱘伨偱勲卂嚑坃壦奞巺廵杊桪樳殾毥爋狥畃薫蘍訙賐鑂顨駨鱏
ya	丫亚压呀哑崖押涯牙芽蚜衙讶轧雅鸦鸭伢垭娅岈揠桠氩琊痖睚砑迓亞厊啞圔圠埡堐壓婭孲庌掗枒椏氬犽猰玡窫聐蕥襾訝軋錏鴉鴨齖齾乛亜俹劜厑厓唖圧崕庘挜漄猚瑘瘂稏笌鐚铔鵶
yan	严厌咽唁堰奄宴岩延彦掩沿淹演炎烟焉焰燕盐眼研砚艳蜒衍言谚阉阎雁颜验俨偃兖厣妍嫣崦恹晏檐湮滟焱琰筵罨胭腌芫菸讠谳赝郾鄢酽闫阏餍魇鼹偣傿儼兗匽厭厴喭噞嚥嚴壛壧姲娮嬮嬿孍嵃嵒巖巘弇彥愝懨戭扊抁掞揅揜敥曣曮棪椻椼楌沇淊渰溎漹灩烻煙燄爓牪狿猒珚甗硯碞礹簷綖縯臙艷莚萒虤蝘裺褗觾諺讌讞豔贗躽郔酀酓醃醼釅閆閹閻隒顏顩饜騴驗驠鬳魘鰋鴈鴳鶠鷃鷰鹽黤黫黭黶鼴齞齴龑乵偐剦厳啱塩墕夵妟姸娫嬊嵓嶖巌巗巚懕昖暥曕樮檿櫩欕渷灎灔灧焑焔熖琂硏硽篶艶葕蔅覎觃訁訮詽豓贋軅遃醶隁顔騐験鳫麣黡黬
yang	样羊仰佯养央扬杨殃氧洋漾疡痒秧阳鸯徉怏恙泱炀烊蛘鞅佒坱垟姎岟崵崸懩抰揚攁昜暘柍楊樣瀁炴煬珜瘍癢眻禓紻羕胦蝆軮鉠鍚鐊陽雵颺養鴦鸉傟劷咉慃敭旸楧様氜氱玚眏礢羏羪詇諹輰钖阦霷飏駚鰑鴹
yao	要药咬妖姚尧摇瑶窑耀腰舀谣遥邀钥吆夭崾幺徭曜杳爻珧窈繇肴轺鳐鹞偠傜喓嗂垚堯媱宎岆嶢愮抭搖摿柼榚榣殀溔烑燿猺獟瑤眑祅穾窅窔窯筄艞苭葯葽蓔藥袎覞訞詏謠軺遙銚鑰靿顤颻餚騕鰩鴢鷂鷕仸倄婹尭峣嶤揺暚枖楆滧熎狕矅磘窰纅薬蘨謡讑邎鎐闄飖餆鴁鼼齩
ye	夜业也冶叶噎掖曳椰液爷耶腋野页揶晔烨谒邺铘靥埜嶪抴捙擛擨擫暍曄業歋殗漜澲燁爺瞱葉蠮謁鄴鍱鎑鐷靨頁饁亪亱倻僷吔啘嘢嚈墷壄嶫捓擪曅曗曵枼枽洂潱爗璍皣瞸礏鄓釾鋣鎁餣馌驜鵺鸈
yi	一以已椅医宜易义乙亦亿仪伊依倚壹夷姨屹异彝役忆意抑揖毅沂溢疑疫益矣移绎翌翼肄胰臆艺蚁衣裔议译诣谊逸遗邑铱颐佚佾刈劓呓咦咿噫圯埸奕峄嶷弈弋怡怿悒懿挹旖殪漪熠猗痍瘗癔眙缢羿翊翳舣苡薏蜴衤诒贻轶迤酏钇镒镱饴驿黟乂亄伿佁侇俋偯儀億劮勩匜唈囈圛垼埶墿媐嫕嫛宧寱寲峓崺嶧嶬帟帠廙恞憶懌扆拸掜敼斁晹暆曀杙枍枻柂栘栺桋椸槸檍檥檹欥欭殔毉沶泆洢浂浥潩澺瀷焲熤熪熼燚燡燱狋玴珆瑿瓵異瘞瘱睪礒禕稦箷簃縊繄繶繹羛羠義耛耴肊膉艗艤芅萓蓺藙藝蘙蛜蛦螔螘蟻衪衵袘裛襼觺訑詍詑詒詣誃誼謻譯議豷貤貽賹贀跇跠踦軼轙迆迻遺郼醫醳醷釔釴鉯銥鎰鏔鐿陭隿霬靾頤顊顗飴饐驛鮨鳦鶂鷁鷊鷖鷾鸃黓黳齮齸乁乊伇兿冝勚匇吚呭呹坄壱夁嬄嬑嬟宐巸幆庡弌弬彛彜彞怈悘悥扅撎攺敡旑曎栧棭椬榏歝殹浳渏湙炈獈畩痬瞖硛祎秇穓竩笖籎苅苢萟虉蛡螠袣裿褹訲訳譩讉讛豙豛貖輢辷逘鈘鈠頉頥駅骮鯣鶃鶍鷧鹝鹢鹥
yin	印吟因姻寅尹引殷淫茵荫银阴隐音饮吲喑垠堙夤廴氤洇狺瘾窨胤茚蚓鄞铟霪龈冘凐噾嚚圁垔垽堷婬崟廕愔慇憖朄檃檭歅殥湚濦烎猌瘖癮硍禋粌絪苂荶蒑蔩蔭蘟螾蟫裀誾諲讔趛輑酳鈏銀銦闉陰隱霒霠靷韾飲駰鷣齗乑乚侌噖囙婣峾崯嶾慭憗懚斦栶檼櫽泿洕淾溵滛濥犾珢璌癊碒磤秵筃緸訔訚訡赺鈝阥陻隂隠鞇飮骃鮣龂
ying	婴应影映樱盈硬缨英荧莹萤营蝇赢迎颖鹰嘤媵嬴撄楹滢潆瀛瑛璎瘿罂膺茔莺萦蓥郢颍鹦偀嚶塋嫈嬰廮應摬攍攖朠梬櫻浧渶潁濴瀅瀠瀯瀴煐熒營瑩瓔甇甖癭矨碤礯穎籯縈纓罃罌藀蘡蝧螢蠅蠳褮覮謍譻賏贏鎣霙韺鱦鶧鶯鷹鸚僌啨営噟媖孆孾巊応愥暎桜櫿溁溋濙濚灐灜珱盁籝緓绬膡萾蛍蝿譍軈鍈鐛鑍锳鞕頴颕鴬鶑鷪鸎
yo	哟唷喲
yong	用佣勇咏庸恿拥永泳涌痈臃蛹踊雍俑喁墉壅慵甬邕镛饔鳙傛傭嗈噰埇塎嫞嵱廱悀揘擁槦湧滽澭灉癰禜詠踴郺鄘醟鏞雝顒鰫鷛勈彮怺惥愑愹慂柡栐牅癕砽硧苚颙鯒鱅鲬
you	有又友优佑右尤幼幽忧悠油游犹由诱邮酉釉铀侑卣呦囿宥攸柚牖猷疣莜莠莸蚰蚴蝣铕鱿黝鼬偤優嚘姷峟庮怮憂懮斿栯楢槱櫌沋泑浟瀀牰狖猶祐秞纋羑耰聈苃蒏蕕訧誘貁輶迶逌遊郵鄾鈾銪魷麀丣亴哊唀孧峳怣梄櫾湵滺牗禉糿羐肬脜蜏輏逰酭駀鮋鲉
