# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿吖锕錒
chuai	揣啜搋膪踹膗
chuan	船串传喘川椽穿巛氚舛舡遄钏傳暷歂汌猭玔瑏荈賗踳輲釧鶨僢剶篅舩
chuang	窗床创幢疮闯怆傸凔刱創愴摐瘡磢闖刅剏剙噇摤牀牎牕窓窻
chui	吹垂捶炊锤棰槌陲倕圌搥箠腄菙錘鎚埀顀龡
chun	唇春椿淳纯蠢醇莼蝽鹑偆媋惷暙杶槆橁漘犉純脣萶蓴賰輴錞鯙鰆鶉鶞堾旾櫄浱湻滣瑃睶箺萅蒓醕陙
chuo	戳绰踔辍辶龊嚽娕娖婥惙擉歠磭綽腏趠輟逴齪涰繛辵酫鑡
ci	此次伺刺慈瓷疵磁茨词赐辞雌呲祠糍茈鹚佌佽偨嬨庛朿柌栨泚濨玼皉絘縒茦莿薋蛓蠀詞賜趀跐辭飺餈骴髊鮆鶿齹刾垐珁甆礠螆辝辤鴜鷀
cong	从丛匆囱聪葱枞淙琮璁苁骢叢囪婃孮徖從悰慒暰棇樅欉漎潀熜瑽瞛聰蓯蔥藂蟌謥賨鏦驄従忩怱悤憁樬樷漗潨灇焧爜篵緫繱聡聦茐誴賩鍯騘
cou	凑腠辏湊輳
cu	促簇粗醋徂殂猝蔟蹙蹴噈憱瘯觕踧顣麤鼀媨瘄縬脨誎趗蹵麁麄
cuan	窜篡蹿撺汆爨镩巑攛欑竄躥鋑櫕殩熶穳簒鑹
cui	催崔摧淬瘁粹翠脆啐悴榱毳璀萃倅凗墔嶉慛漼濢焠磪竁綷縗脺膬膵趡鏙乼伜啛忰槯獕疩皠粋紣缞翆脃臎襊顇
cun	存寸村忖皴刌吋拵籿踆侟澊竴膥邨
cuo	挫措搓撮磋错厝嵯痤矬脞蹉锉鹾剉剒夎斮棤瑳莝蒫蓌蔖躦遳醝銼錯鹺嵳睉莡虘逪
da	大打搭瘩答达哒嗒妲怛沓笪耷褡靼鞑匒呾咑噠撘汏炟畣笚繨羍荅薘躂迖達鎉鎝鐽韃龘亣剳垯墶溚燵畗眔荙蟽詚跶迏迚逹龖
dai	代傣呆带待怠戴歹殆袋贷逮呔埭岱玳甙绐迨骀黛帶廗柋瀻獃紿艜襶貸蹛軑軩靆侢叇垈帒帯懛曃瑇簤緿蚮軚轪霴鮘鴏黱
dan	蛋丹但单弹惮担掸旦氮淡耽胆诞郸儋啖殚澹疸瘅眈箪聃萏赕亶伔僤刐勯匰啗啿單嘾噉嚪帎彈憚憺抌撢撣擔柦殫沊泹澸狚玬甔癉癚砃禫窞簞紞繵聸膽蜑衴襌觛誕贉鄲霮髧鴠黕黮単妉媅弾瓭疍耼腅蓞褝躭頕饏馾駳鿕
dang	当党挡档荡凼宕砀菪裆谠铛儅噹婸嵣愓擋攩檔欓潒澢璗璫瓽當盪碭礑簜簹艡蕩蟷襠讜逿鐺闣黨圵垱壋氹灙珰瞊筜蘯譡趤雼
dao	道倒刀到导岛悼捣盗祷稻蹈刂叨忉氘纛壔導島捯搗擣檤燾瓙盜禂禱箌翢翿舠菿魛噵嶋嶌嶹朷椡槝稲艔衜衟軇釖陦隝隯鱽
de	的地得德锝淂嘚徳恴悳惪棏脦鍀
den	扥扽
deng	凳灯登瞪等蹬邓噔嶝戥磴簦镫墱嬁燈璒豋鄧鐙朩櫈竳艠覴隥
di	第弟低堤嫡帝底抵敌涤滴狄笛缔翟蒂迪递嘀坻娣柢棣氐睇砥碲籴羝荻觌诋谛邸镝骶厎呧嚁墑墬弤彽敵旳杕梊梑樀渧滌焍牴玓珶甋眱磾禘篴糴締聜苖菂菧蔋蔕藡蝃螮袛覿觝詆諦踶蹢軧遞遰釱鍉鏑阺隄靮鞮馰鬄鸐仾俤偙僀唙啇啲坔坘埊埞奃媂嶳廸怟慸拞掋摕枤祶腣茋蔐豴趆逓鉪頔髢鯳
dia	嗲
dian	点电店佃典垫奠惦掂殿淀滇甸碘靛颠坫巅玷癜癫簟踮钿阽傎厧墊壂婝婰巔扂敁槙橝澱瘨癲蒧蕇跕蹎電顛驔點齻嚸奌嵮巓攧敟椣槇橂猠琔蜔顚
diao	凋刁叼吊掉碉调钓雕貂铞铫鲷伄屌弔彫扚殦琱瞗窵蓧藋虭蛁調釣雿魡鯛鳭鵰刟奝弴汈瘹窎竨簓訋鈟銱鋽鑃鮉鼦
die	叠爹碟蝶谍跌迭喋垤堞揲牒瓞耋蹀鲽峌嵽惵挕昳楪疊眣絰胅臷艓苵蜨褋詄諜镻鰈哋幉恎戜曡殜氎牃畳疂疉眰绖耊褺趃
ding	定丁叮盯订钉锭顶鼎仃啶玎疔碇耵腚酊嵿帄椗濎碠萣薡虰訂釘鋌錠靪頂顁飣奵忊矴磸聢蝊鐤饤鼑
diu	丢铥丟銩
dong	动东侗冬冻恫懂栋洞董咚垌岽峒氡硐胨胴鸫凍動埬墥姛嬞崠戙挏東棟涷湩絧苳菄蕫蝀迵霘駧鶇鼕倲働娻崬徚昸氭笗箽腖諌鮗鯟鶫鿴
dou	都兜抖斗痘豆逗陡窦篼蔸蚪钭唗枓梪浢竇脰荳郖酘鈄餖鬥乧兠吺唞斣橷毭閗闘阧饾鬦鬪鬬鬭
du	堵妒度杜毒渡犊独督睹肚读赌镀嘟椟渎牍笃芏蠹髑黩剢帾櫝殰瀆牘犢獨皾秺篤蝳裻讀讟賭贕醏錖鍍闍韇韣韥黷凟匵厾妬嬻殬涜琽瓄荰螙蠧覩読豄鑟阇靯騳
duan	短断段端缎锻椴煅簖偳剬媏斷毈碫籪緞耑腶葮躖鍛塅瑖褍鍴
dui	对兑堆队怼憝碓兌對懟濧瀩痽祋薱譈鐓隊頧鴭兊垖塠対嵟憞磓綐襨譵鐜陮
dun	吨囤墩敦盾蹲遁钝顿沌炖盹砘礅趸镦伅噸庉惇撉楯橔潡燉蜳躉遯鈍頓驐墪撴犜獤碷踲蹾逇
duo	多剁哆垛堕夺惰掇朵舵跺躲咄哚缍裰踱铎剟剫喥嚲埵墮墯奪奲嶞敓敪柮椯毲綞趓跢鐸陊陏鮵鵽亸凙刴嚉垜夛尮崜憜挅挆敚敠朶桗畓痥跥躱軃鈬飿饳
e	饿俄厄娥峨恶扼蛾讹遏鄂额鹅呃噩垩婀屙愕腭苊莪萼谔轭锇锷颚鳄鹗匎吪咢噁囮堊堨堮姶岋峉崿廅惡搤搹枙櫮歞涐珴痾皒睋砐砨蚅蝁訛詻諤豟軛軶迗遻鋨鍔鑩閼阨頞額顎餓餩魤鱷鵝鶚齃齶偔僫卾呝咹妸妿娿屵峩悪戹擜歺湂琧砈硆磀礘蕚覨誐譌讍遌鈋鈪阸頋頟騀魥鰐鰪鵈鵞
ei	诶誒
en	恩摁蒽奀峎煾
eng	鞥
er	而儿二尔洱耳贰饵珥迩铒鲕鸸侕兒刵咡唲尒峏栭栮樲毦洏爾聏胹荋薾衈貳輀邇鉺陑餌駬鮞鴯児厼尓弍弐粫袻誀貮趰轜隭髵
fa	发法乏伐珐筏罚阀垡砝沷琺疺發瞂罰茷藅醱閥髮佱傠姂彂栰橃浌灋発笩罸蕟鍅髪
fan	饭凡反帆樊泛烦犯番矾繁翻范藩贩返钒幡梵燔畈蘩蹯勫墦奿嬏旛杋柉橎氾汎渢滼瀪瀿煩璠礬笲笵範籓籵繙羳膰薠蠜販軓軬轓釩鐇颿飯鱕鷭仮凢凣匥噃婏嬎忛憣払旙棥盕緐舤舧襎訉鐢飜飰
fang	方房仿坊妨放纺肪芳访防匚枋舫邡钫鲂倣昉汸淓瓬紡訪鈁髣魴鶭埅堏旊昘牥眆蚄趽錺鰟鴋
fei	飞匪吠啡废沸肥肺菲诽费非妃悱扉斐榧淝狒痱篚绯翡腓芾蜚镄霏鲱俷剕厞奜婓屝廢昲曊朏棐櫠濷疿癈緋胇胐萉蜰蟦裶誹費鐨陫飛餥馡騑騛鯡鼣婔廃暃杮渄猆蕜靅靟飝
fen	分份吩坟奋忿愤氛汾焚粉粪纷芬酚偾棼瀵鲼鼢僨兝墳奮妢幩弅憤昐枌梤棻橨濆炃秎糞紛羒羵翂膹蒶蕡蚡衯豶轒鈖鐼雰饙魵黂黺鼖兺哛岎帉朆朌燌燓瞓竕肦蚠訜豮躮隫餴馚馩鱝
feng	风丰冯凤奉封峰枫烽疯缝蜂讽逢锋俸唪沣砜葑酆偑堸夆妦崶捀摓桻楓檒灃焨犎猦甮瘋縫艂蘴覂諷豐賵鋒風飌馮鳳麷仹僼凨凬凮寷峯沨浲湗溄漨煈琒盽碸篈綘蠭赗鄷鎽鏠闏霻靊鳯鴌
fiao	覅
fo	坲仏梻
fou	否缶殕紑缹鴀妚缻裦雬
fu	父付伏佛俘俯傅副咐复夫妇孵富幅府弗扶抚拂敷斧服氟浮涪甫福符缚肤腐腑腹袱覆讣负赋赴辅辐釜阜附凫匐呋呒孚幞怫拊桴滏砩祓稃绂绋罘艴芙苻茯莩菔蚨蜉蝠蝮赙趺跗郛阝馥驸鲋鳆麸黻黼伕俛偩冹刜咈嘸垘垺姇婦嬔尃岪峊巿弣彿復怤撫枎柎柫棴榑泭洑澓烰玸琈痡砆祔笰箙簠糐紨紱紼綍綒緮縛罦翇胕膚艀芣茀荂荴萯葍蕧虙蚥蚹蛗蜅蝜衭複褔襆訃諨負賦賻踾輔輹輻邞郙鄜鈇鍑韍頫駙鮒鰒鳧鳺鴔鵩鶝麩乀乶俌冨哹坿妋娐媍懯捬撨旉栿椨椱炥焤玞甶畉畐癁盙禣秿稪竎筟粰絥袝襥覄詂豧酜釡鉘鉜鍢陚韨颫髴鬴鮄鮲鳬麬麱
ga	嘎噶尕尜尬旮钆釓嘠玍錷魀
gai	改概溉盖该钙丐垓戤赅陔侅峐摡杚瓂祴絯荄蓋該豥賅賌鈣阣隑乢匃匄姟忋晐槩槪漑畡絠葢郂
gan	感干敢杆柑甘秆竿肝赣赶坩尴擀旰橄泔淦澉疳矸绀苷酐凎尷幹桿榦漧灨玕皯盰稈笴筸簳紺詌贛趕骭鰔鳱乹亁仠倝凲尲尶忓攼檊汵粓芉衦贑迀魐鱤鳡
gang	冈刚岗杠港纲缸肛钢戆筻罡剛堈堽岡崗棡槓犅疘矼綱釭鋼冮戅掆焵焹牨罁罓鎠鿍
gao	高告搞皋稿篙糕羔膏镐杲槁槔睾缟藁诰郜锆勂暠檺櫜滜祰筶縞誥鋯韟鷎鼛吿夰峼槀槹橰皐祮禞稁稾羙臯菒藳餻髙鷱
