# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿錒吖锕
qian	前千錢淺乾仟倩兛塹嵌愆搴欠歉潛牽瓩箝簽籤縴虔謙譴遣遷鈐鉗鉛阡韆騫黔仱俔傔僉凵嗛墘奷婜媊岍岒忴慊慳扦扲拑掔掮揵攐攓棈榩槏槧檶櫏汧灊篟粁綪繾羬脥芊芡茜蒨蕁蜸褰軡輤鈆雃靬顅騚騝鰜鰬黚佥堑悭椠浅潜牵签缱肷谦谴迁钎钤钱钳铅骞伣偂儙刋圱圲壍嬱孯嵰悓拪撁攑杄橬欦歬汘濳皘竏箞篏籖膁臤茾蔳蚈諐谸釺銭鎆鏲鑓鬜鬝鵮鹐
qiang	嗆強戕搶槍檣牆繈羌腔薔鎗鏘唴墏嬙嶈廧戧斨椌漒熗牄瑲羥羻蘠蜣襁謒蹌蹡錆鏹丬呛墙嫱强戗抢枪樯炝羟蔷跄锖锵镪嗴墻溬猐獇玱篬繦羗羫艢蔃
qiao	橋俏僑喬峭巧悄愀憔撬敲樵橇瞧竅翹誚譙蹺鍬鞘劁嘺墝墽嫶帩幧撽毃燆犞磽礄繑荍菬蕎趫趬踍躈郻鄡鐰頝骹髜乔侨桥硗窍缲翘荞诮谯跷锹鞒僺嵪槗殻癄硚藮鄥釥鍫鐈陗鞩鞽韒顦髚
qie	且切妾怯愜挈竊鍥厒朅洯篋緁藒蛪踥鐑鯜惬窃箧郄锲匧悏淁穕笡籡聺苆
qin	侵勤噙寢嶔撳擒欽沁琴禽秦芹親唚坅埁嫀寑庈慬懃斳昑梫檎溱澿瀙瘽笉綅耹芩菣菳藽蚙螓螼衾鈙鋟雂靲顉駸鬵鳹亲吣嗪寝揿钦锓吢媇寴嵚懄抋捦搇珡琹菦蠄誛赾鈫骎鮼鵭
qing	情輕傾卿慶擎晴檠氫清磬罄蜻請青頃凊勍圊埥廎掅擏樈殑氰漀碃箐綮葝謦郬鑋靘黥倾庆氢苘请轻顷鲭儬剠夝寈庼暒棾檾櫦殸淸濪甠硘靑
qiong	瓊穹窮惸憌桏橩煢璚瓗瞏笻筇舼藑藭蛩蛬赹跫邛銎琼穷茕儝卭宆焪焭熍睘竆
qiu	丘囚梂毬求泅球秋蚯裘邱酋鞦鰍俅唒坵媝崷巰恘楸殏煪犰璆盚糗紌絿緧莍萩蓲虯蛷蝤蝵蟗蠤觓觩訄賕趥逑遒釚銶鮂鯄鰽鶖鼽巯虬赇鳅丠叴扏搝汓浗渞湭玌皳秌穐篍肍蘒訅逎醔釻鞧鰌鹙龝
qu	去劬區取娶屈嶇曲渠璩瞿蛆蛐衢趣趨軀驅麴齲佉佢刞呿岨抾敺斪朐欋氍浀淭灈磲祛竘籧紶絇翑胊胠臞菃葋蕖蘧蝺螶蟝蠷蠼袪覷詘躣軥镼闃阹髷魼鱋鴝麮鼁鼩区岖癯觑诎趋躯阒驱鸲黢龋伹匤厺唟坥岴忂憈戵璖竬筁粬耝衐覰覻詓誳迲鑺閴駆駈鰸鸜麯麹
quan	全佺券勸圈拳權泉犬畎痊荃蜷詮踡銓埢姾婘巏弮恮悛惓棬汱烇牶牷犈瑔筌絟綣縓虇蠸觠跧輇醛鐉韏顴駩鬈齤劝权犭绻诠辁铨颧勧啳圏奍孉峑搼椦楾権洤湶硂葲闎騡鰁鳈
que	卻榷瘸確缺闋闕雀鵲埆塙愨搉炔皵硞确碏碻礐礭蒛却悫阕阙鹊墧崅慤燩琷趞
qun	群裙囷宭峮逡夋帬羣裠
ran	然冉染燃苒髯呥姌橪珃蚺袡冄嘫媣繎肰蒅蚦衻袇髥
rang	嚷壤攘瓤禳讓儴勷懹瀼爙獽穰纕蘘躟鬤让壌穣譲
rao	嬈擾橈繞饒扰蕘襓遶隢娆桡绕荛饶
re	熱惹热
ren	人仁仞任刃壬妊忍稔紉荏衽認軔韌飪屻栠棯牣紝肕腍芢荵葚訒銋鵀亻纫认轫韧饪仭刄姙岃忈忎扨朲杒栣梕祍秂秹絍綛纴袵讱躵鈓靭靱餁魜
reng	仍扔礽陾芿辸
ri	日鈤馹囸釰驲
rong	冗容嶸戎榕榮溶熔絨茸蓉融鎔傇媶嫆巆榵毧氄瀜烿爃狨瑢羢肜茙蠑褣軵駥髶嵘绒荣蝾坈嬫宂峵嵤搈搑曧栄穁穃縙螎镕
rou	肉揉柔蹂鞣厹媃楺煣禸粈糅葇蝚輮鍒韖騥鰇鶔宍渘瑈瓇腬
ru	如乳儒入嚅孺汝濡燸茹蠕褥辱侞嗕媷嬬帤擩曘洳溽筎縟蒘蓐蕠薷蝡袽襦鄏醹銣鴽缛铷颥嶿扖杁桇渪肗邚顬鱬鳰鴑
rua	挼
ruan	軟阮堧壖撋朊瓀礝緛耎软偄媆瑌碝輭
rui	瑞睿蕊銳叡婑枘桵橤汭緌繠芮蕤蚋锐壡甤蕋蘂蘃蜹鋭
run	潤閏橍润闰瞤膶閠
ruo	偌弱篛若鶸婼捼楉渃爇箬蒻鄀叒嵶焫鰙鰯
sa	卅撒灑薩颯仨挲摋泧洒躠鈒隡靸馺脎萨飒挱櫒潵虄訯钑
sai	塞腮賽鰓僿揌毢毸噻赛鳃嗮嘥愢簺顋
san	三傘散糝帴毿繖鏒鏾閐鬖伞叁毵糁馓仐俕厁壭弎橵毶犙糂糣糤饊
sang	喪嗓桑搡磉褬鎟顙丧颡桒槡
sao	嫂掃搔繅騷埽慅氉溞瘙矂臊鱢扫缫骚鳋掻螦騒髞鰠
se	嗇澀瑟穡色栜濇濏璱譅轖銫鏼飋啬涩穑铯懎擌歮歰渋澁瀒琗瘷穯繬閪雭
sen	森槮襂椮
seng	僧鬙
sha	傻剎廈殺沙煞砂紗莎裟霎鯊唦唼啑啥喢嗄樧歃猀痧硰箑繌翜翣萐蔱鎩魦刹厦杀纱铩鲨乷倽儍帹桬榝毮粆閯鯋
shai	晒曬篩簁繺釃閷筛簛
shan	山刪善姍扇擅杉柵汕潸煽珊疝縿繕羶膳舢芟衫訕贍跚閃陝鱔剡剼埏墠墡嬗幓挻搧晱樿潬灗煔狦痁睒笘膻苫蟺覢謆赸鄯釤騸删姗彡缮蟮讪赡钐闪陕骟鳝傓僐嘇圸嶦敾椫檆歚澘炶熌磰羴脠譱軕邖銏鐥閊饍鯅鱓鿃
shang	上傷商尚晌殤裳觴賞恦漡熵蔏螪謪鞝鬺伤垧墒殇绱觞赏丄尙慯扄滳緔贘鑜
shao	少勺哨捎梢燒稍紹芍邵韶劭卲弰旓潲玿睄筲艄苕莦蕱蛸袑輎髾鮹烧绍娋柖焼綤颵
she	奢射懾捨攝歙涉社舌舍蛇設賒赦麝佘厙慴摵檨涻灄猞畬蔎蠂輋韘騇厍慑摄滠畲设赊弽摂欇渉舎虵蛥賖
shei	谁
shen	身深什伸呻哂娠嬸審慎沈滲瀋甚申砷神紳脤腎莘蜃侁侺兟堔妽姺屾峷曋柛棽椹氠燊珅甡眒瞫矧祳籸罧胂葠蔘蜄覾詵諗讅邥鋠駪鯓婶审渖渗绅肾诜谂宷弞愼扟敒昚曑榊涁甧瘆瘮眘矤穼籶罙蓡薓裑訠訷谉頣魫鯵鰰鰺鲹鵢
sheng	生剩勝升昇牲甥盛省笙繩聖聲賸陞偗呏圣嵊憴泩渻湦焺狌眚胜譝貹鉎鵿鼪声绳剰墭斘晠曻枡栍榺橳殅珄琞竔縄苼蕂鍟阩陹
shi	是時事十世使石視市師仕侍勢匙史嗜噬塒士失奭始室實尸屍屎式弒恃拭拾施柿氏溼濕獅矢示筮舐虱蝕蝨螫試詩誓識豕軾逝適釋食飾駛姼媞寔崼徥忕恀戺揓栻榯湜湤溡溮澨烒祏簭絁葹蒔蓍褷襫襹觢諟諡謚貰适遾邿鈰鉈鉐鉽銴鰣鰤鳲鶳鼫鼭势埘实师弑时湿炻狮礻莳蚀视识试诗谥贳轼酾释铈饣饰驶鲥鲺丗乨乭亊佦兘冟卋叓呞呩嬕実宩峕嵵旹昰枾柹榁浉煶瑡眂眎眡睗竍笶篒籂舓蒒辻遈釈釶鉂鉃鉇鍦飠餙餝鮖鯴鰘鳾鸤
shou	手受售壽守授收狩獸瘦綬首艏兽寿扌绶収垨夀涭獣痩膄鏉龵
shu	樹書倏叔塾墅孰屬庶恕戍抒數暑曙朮束梳樞橾殊淑漱熟疏署舒菽蔬薯藷蜀術豎贖輸述黍鼠儵咰姝婌尌怷攄杸殳毹沭潻澍焂瑹癙秫糬紓綀腧虪裋襡襩跾軗鄃鉥鏣陎隃鮛鵨鶐鸀书属摅数术枢树竖纾赎输侸倐尗庻捒掓暏毺潄濖瀭璹疎竪絉荗蒁薥蠴踈錰鱪鱰鼡
shua	刷耍唰誜
shuai	帥摔甩蟀衰帅卛
shuan	拴栓涮閂闩腨
shuang	塽孀爽雙霜孇慡樉漺灀礵縔艭驦鷞双欆鏯騻骦鸘鹴
shui	水睡稅誰帨涗脽裞氵税氺涚祱閖
shun	吮瞬舜順瞚蕣鬊顺橓
shuo	說妁朔爍碩鑠搠槊欶獡箾蒴鎙烁硕说铄哾矟説
si	四似兕司嗣嘶姒寺巳廝思撕斯死泗祀私絲耜肆飼駟鷥俬儩凘柶楒榹汜泀洍涘澌磃禗禠笥緦罳肂蕬蕼虒蜤螄蟴覗貄鈶鉰颸鼶丝厮厶咝纟缌蛳锶饲驷鸶亖佀価噝娰媤孠恖杫泤瀃燍牭禩竢籭糹蟖釲鈻銯鋖鐁飔飤騦
song	宋崧嵩忪悚慫松淞聳訟誦送頌鬆倯傱娀嵷愯濍硹竦菘蜙鍶駷凇怂耸讼诵颂庺憽枀枩柗梥楤檧鎹餸
sou	叟嗽嗾搜擻艘蒐藪颼餿嗖廋溲獀瞍籔鄋醙鎪颾騪擞薮螋锼飕馊傁凁叜廀捜摉摗櫢瘶蓃
su	俗嗉囌塑夙宿溯甦穌簌粟素肅蘇訴速酥傃僳嫊愫愬憟梀榡樕橚櫯泝洬涑潚玊窣縤膆莤蔌藗觫謖蹜鋉餗驌鱐鷫稣肃苏诉谡塐樎殐溸潥珟璛碿粛蘓趚遡遬骕鯂鹔
suan	痠算蒜酸匴狻筭祘笇
sui	歲燧睢碎祟穗綏誶遂邃隋隧隨雖髓倠哸埣旞檖浽滖濉瀡璲眭睟禭穟繀繐繸荽荾襚賥鐆鐩岁绥虽谇随亗夊嬘嵗歳澻煫熣瓍砕穂膸芕譢遀鞖韢髄
sun	孫損榫筍蓀飧搎槂猻簨蕵薞鎨隼孙损狲笋荪箰飱鶽
suo	所唆嗦娑梭瑣簑索縮蓑鎖傞嗍嗩惢摍桫溹璅羧莏趖逤鎈鎍唢琐睃缩锁乺暛溑琑簔蜶褨鎻鏁髿鮻
ta	他她它塌塔拓撻榻牠獺踏蹋遝遢嚃搨榙毾涾濌祂禢褟誻趿錔闒闥鞜鞳鰨挞溻獭铊闼鳎侤咜嚺墖崉橽澾狧譶蹹躢闧阘鮙鿎
tai	太台態抬檯汰泰胎臺苔薹跆颱儓嬯旲溙炱燤箈籉邰鈦駘鮐态肽酞钛鲐冭囼坮夳孡忲擡枱炲粏舦菭
tan	嘆坍坦壇探攤曇檀歎毯潭灘炭痰癱碳罈袒覃談譚貪倓傝僋嗿埮婒忐怹惔憛憳暺榃湠燂痑磹舑舕菼藫襢譠貚賧郯醓醰鉭錟顃餤叹坛摊昙滩瘫谈谭贪钽锬墰墵壜憻擹璮罎醈
tang	倘儻唐堂塘帑搪棠淌湯燙瑭糖膛螳趟躺醣鏜戃摥曭榶樘橖溏漟煻爣矘磄羰蓎薚蝪螗赯踼蹚鎕鎲鐋钂闛餳鶶鼞傥汤烫耥铴镗伖偒傏劏啺嘡坣埫禟篖糃糛膅鄌镋隚鞺餹饄
tao	啕套掏桃檮洮淘滔濤絛萄討逃陶韜饕匋咷嫍幍弢慆搯槄祹綯縚蜪醄鋾錭鞀駣騊涛焘绦讨韬鼗夲梼瑫縧绹裪詜謟轁迯鞉鞱飸饀
te	慝特忑忒蟘貣鋱铽
teng	疼滕籐藤謄騰熥痋縢螣邆霯腾誊儯幐漛籘膯虅駦驣鰧鼟
ti	剃剔啼嚏屜悌惕提替梯涕緹踢蹄逖銻題體体倜偍厗崹徲悐惿揥擿楴殢洟瓋稊籊綈荑蕛薙蝭裼褅褆謕趧趯醍鍗騠鯷鵜鶗鶙鷈鷤屉绨缇锑题鹈嗁嚔惖戻挮掦朑歒漽瑅碮禵笹罤苐蹏躰軆逷遆骵髰鬀鮧鮷鳀鴺鷉
tian	天田填忝恬添甜畋腆舔鈿闐靦倎婖屇悿掭搷晪殄沺淟湉琠瑱痶盷睼磌窴緂菾賟酟錪餂鷏阗兲唺塡璳甛畑畠睓碵胋舚覥觍鍩靔靝鴫鷆黇鿬
tiao	佻挑條眺窕蜩覜跳迢鯈嬥宨岧庣恌斢朓祒祧窱笤糶絩脁芀蓨誂趒鎥鞗髫鰷齠条粜鲦龆岹旫晀樤聎萔蓚螩鋚
tie	帖貼鐵餮僣呫怗聑蛈銕驖鴩萜贴铁鐡飻
ting	庭亭停听婷廳廷挺梃汀聽艇蜓霆侹圢娗嵉桯楟榳渟烴烶珽町筳綎聤脡艼莛葶蝏閮頲鼮厅烃铤厛庁廰涏甼耓聴聼誔諪邒鞓颋
tong	同痛僮彤慟桐桶潼瞳童筒統通銅仝佟哃捅曈朣橦氃浵炵烔犝狪獞痌穜筩粡膧茼蓪衕詷赨酮鉖餇鮦嗵恸砼统铜勭囲峂峝庝憅晍樋燑眮秱綂蚒鉵鲖
tou	頭偷投透骰妵媮敨紏緰蘣鋀黈亠头偸婾綉鍮飳
tu	土兔凸吐圖塗屠徒禿突荼菟途酴唋堍峹嵞嶀廜怢悇捈捸梌涂涋湥潳瘏稌筡腯葖蒤跿釷鍎駼鵌鵚鵵鶟鷋鷵鼵图秃钍兎凃図圕圗圡堗宊庩揬汢痜莵迌鈯鋵馟
tuan	團湍糰剸彖慱摶槫漙煓篿褖貒鏄鷒鷻团抟疃団檲湪猯
tui	推腿蛻褪退頹侻俀僓弚穨蓷藬蹪隤駾魋煺蜕颓娧尵蘈蹆頺頽骽
tun	吞屯臀豚飩啍坉忳旽暾涒焞畽芚軘魨氽饨呑噋朜臋豘霕鲀黗
tuo	佗唾妥托拖柝橢沱脫託跎陀馱駝鴕乇侂坨堶嫷岮庹扡挩柁橐毤毻沰砣碢籜紽莌蘀袉跅酡飥驒鬌魠鮀鼉椭沲箨脱驮驼鸵鼍仛咃圫媠彵拕捝杔楕槖汑涶狏砤萚袥讬迱陁饦駄駞騨驝鰖鵎鼧鿳鿸
wa	哇娃媧挖瓦窪蛙襪佤嗢洼溛漥穵窊膃娲腽袜劸咓嗗屲搲攨瓲畖砙聉邷韈韤鼃
wai	外崴歪喎夞竵顡
wan	万萬晚丸剜婉完宛彎惋挽汍灣玩皖碗綰腕蜿豌輓頑倇刓卍婠岏忨抏捖捥晥晼潫澫烷琬畹睕瞣紈綩翫脕脘芄菀薍蟃踠輐鋄弯湾纨绾顽卐唍埦塆壪帵晩杤梚椀琓盌笂萖貦贃贎鋔錽鎫
wang	亡妄尢往忘惘旺望枉汪王網罔輞魍尪暀朢瀇盳网莣菵迋辋亾仼兦尣尩尫彺徃徍棢罒蚟蛧蝄誷龬
wei	為位偉偎偽危味唯喂圍圩委威娓尉尾巍帷幃微惟慰未桅洧渭濰煨猥畏痿維緯胃萎葦蔚薇衛褽諉謂逶違闈韋餵魏鮪亹儰喡囗壝媦寪峗峞崣嵬廆徫愄揋撱斖暐椲椳欈洈浘渨湋溈溦潿濻瀢烓煒煟燰犚犩瑋痏癓碨磈磑罻腲艉芛菋葨葳蒍蓶薳藯蘶蜲蜼蝛蝟覣覹詴讆踓躗鄬醀鍏鍡鏏隇隈隗霨霺韙韡頠餧饖骫鮇鮠为伟伪卫围帏沩涠潍炜猬玮纬维苇诿谓軎违闱韦韪鲔僞厃叞喴墛媁媙屗嵔嶶愇懀捤揻梶楲潙煀熭爲琟璏硙緭縅苿荱蔿螱衞讏躛轊韑颹骩骪鰃鰄鳂鳚
wen	文問刎吻塭抆汶溫玟瘟穩紊紋聞蚊雯呡妏搵桽殟炆璺芠豱轀閺閿闅顐駇魰鳼鼤温稳纹问闻阌匁呚彣忟揾昷榅榲渂珳瑥瘒穏肳脗莬蕰蚉螡蟁輼辒鎾闦鞰饂馼鰛鰮鳁鴍
weng	嗡甕翁蓊塕暡滃瓮瞈罋聬蕹螉鶲齆勜奣嵡攚鎓鹟
wo	我倭握撾擭斡沃渥渦窩臥萵蝸齷仴偓婐幄捰涴濣焥猧瓁瞃硪腛臒踒雘卧挝涡窝肟莴蜗龌唩媉捾枂楃涹
wu	無五屋伍侮兀務勿午吳吾唔嗚圬塢嫵寤巫悟憮戊捂晤梧武毋汙污烏物舞蕪蜈誣誤鎢霧騖鵡鼯仵俉倵剭卼啎婺屼岉峿嵨廡忤扤摀杇杌橆歍洖洿浯潕焐牾玝珸甒痦矹碔窏粅芴莁蘁螐譕躌迕逜郚鄔鋈阢雺靰鯃鴮鶩鷡齀乌务吴呜坞妩庑怃无芜诬误邬钨雾骛鹉鹜乄伆儛呉奦娪娬嵍弙忢悞悮敄旿汚溩熃熓珷瑦璑祦禑窹箼茣蟱誈錻铻隖霚鰞鵐鹀鼿
xi	西喜係僖兮吸唏嘻夕奚媳嬉希席徙息悉惜戲昔晞晰曦析檄汐洗淅溪潟烯熄熙熹犀犧璽矽禧稀系細繫羲習翕膝蓆蜥蟋襲譆谿釐錫隙俙傒凞卌呬咥囍屖屣屭嶍嶲巇徆徯忥怬恄恓悕惁慀扱枲桸榽槢樨橀欯欷歖氥浠滊漇潝焟熂燨爔狶琋瘜皙盻睎硒磎礂禊穸窸粞綌緆縰肸舄莃菥葸蒠蓰蕮薂虩螅螇蟢蠵衋覡覤觿諰謑謵豨豯貕赩蹝郋郗郤鄎酅醯釳釸鎴鑴闟隰雟霫飁餼騱騽驨鬩鰼鵗鸂黖鼷习戏牺玺细舾袭觋铣锡阋饩匸卥厀唽喺噏嚱墍壐嬆屃嵠忚怸憘憙戱扸晳暿椞椺橲渓漝澙焁焈焬煕熈熺熻犔犠瞦矖磶稧糦縘繥绤翖肹舃葈蒵覀觹觽豀赥趇趘躧邜鈢鉨鉩鏭隟隵霼餏饻鯑鱚鳛
xia	下俠匣呷嚇夏峽暇柙煆狎狹瑕瞎蝦轄遐霞黠烚珨硤碬磍祫縖罅舝舺蕸赮鍜鏬閜陜颬騢魻鶷侠吓峡狭硖虾辖丅乤傄叚圷夓懗敮梺炠疜疨睱筪縀翈虲谺鎋鎼閕陿鰕
xian	先閒仙僩咸啣嫌嫻峴弦憲掀暹涎獻現祆秈絃線縣纖羨腺舷莧蘚蜆賢銑銜閑限陷險霰顯餡鮮鹹仚伭佡僊冼唌嘕壏奾妶姭娊娹嬐孅尟屳嶮幰廯忺憪憸搟撊撏攇攕晛杴枮毨氙涀澖瀗灦烍燹獫獮玁珗癇睍礥禒筅粯糮羡胘薟蚿蛝褼襳誸諴譣豏赻跣躚銛鋧錎鍌韅韱馦鶱鷳鷴麙鼸县娴宪岘显猃献现痫籼纤线苋莶藓蚬衔贤跹酰锨闲险馅鲜鹇僲僴咞哯垷娨婱嫺尠崄挦橌櫶湺狝甉癎県瞯稴箲絤綫繊纎缐臔臽苮藖衘誢贒蹮輱醎鍁鑦铦陥険韯顕鱻鷼麲
xiang	想享像向嚮巷庠廂橡湘瓖相祥箱翔襄詳象鄉鑲響項餉饗香姠忀晑曏欀瓨緗缿膷萫葙薌蟓蠁衖襐銗鐌饟驤鯗鱌乡厢响缃芗详镶项飨饷骧鲞亯佭勨啌塂嶑栙楿珦稥絴蚃跭郷鄊鄕銄鮝鱜鱶麘
xiao	小校傚哮嘐嘯囂孝宵崤效曉梟消淆瀟硝笑篠簫肖蕭詨逍銷霄驍呺嘵庨憢揱枵櫹歊殽毊洨涍灱熽猇獢痚痟皛穘窙筊筱綃翛膮萷藃虈虓蟂蠨謏踃郩髇髐魈鴞鷍哓啸嚣晓枭潇箫绡萧销骁侾俲効咲嘋嘨嚻婋宯彇恷敩斅斆暁歗灲焇皢硣筿簘蟏蟰訤誟誵鴵鸮
xie	些偕勰協卸寫屑懈挾擷攜斜械楔榭歇泄洩瀉燮紲脅蟹蠍褻諧謝邂邪鞋頡伳偞偰僁劦嗋垥奊媟屧嶰廨愶拹揳榍渫澥瀣灺焎熁燲猲獬瑎祄絏緳繲纈薢薤蝎蝢褉襭躞鞢韰齂齘齛齥龤亵写协挟携撷泻绁缬胁谐谢冩卨噧塮夑娎屓屟峫徢恊擕旪暬炧炨烲爕禼糏絬綊緤缷翓脇脋膎藛蠏衺讗鞵
xin	心信新昕欣芯薪訢辛釁鋅馨伈囟妡廞忻杺枔歆炘焮盺舋襑鈊鐔鑫阠馫忄衅锌伩俽噺嬜孞惞脪訫軐邤顖馸
xing	行倖刑型姓幸形性悻惺星杏猩硎腥興邢醒陘侀垶娙婞擤洐涬滎煋瑆箵荇莕蛵觲鈃鉶鋞騂兴荥陉饧哘嬹曐皨睲篂緈臖裄觪謃郉銒钘铏骍鮏鯹鿿
xiong	兄兇凶匈洶熊胸雄哅忷恟敻芎詗汹匂夐焸焽胷訩詾讻诇賯
xiu	休修咻嗅岫朽溴秀繡羞脩袖鏽庥樇滫潃烋珛琇糔脙臹苬螑褎貅銝鎀饈髹鵂绣锈馐鸺俢峀烌璓綇繍褏銹鏅鏥飍髤鮴鱃齅
xu	勗卹吁噓墟婿序徐恤戌敘旭栩洫煦絮緒續胥蓄蓿虛訏許酗需須頊鬚侐冔勖呴喣垿姁嬃幁怴慉揟旴昫晇暊楈欨欻歔殈沀湑漵烅烼獝珝盱瞁瞲稰窢糈縃繻芧蕦藇藚蝑訹詡諝鄦醑銊鑐驉魆魖鱮叙嘘溆绪续虚许诩须顼伵俆偦壻媭敍朂槒欰汿潊珬疞盢盨稸続緖聓聟蒣虗裇譃谞賉魣
xuan	喧宣懸旋晅暄渲漩炫玄璿癬眩絢萱諼軒選鉉儇咺媗嫙愃愋懁揎昍昡梋楥楦泫烜玹琁琄瑄璇眴矎禤縼翾萲蓒蔙蜁蝖蠉衒袨諠讂贙鋗鍹鏇鞙顈駽悬煊痃癣碹绚谖轩选铉镟吅塇弲怰暶檈睻箮縇繏翧蕿藼蘐譞颴鰚
xue	學雪削噱穴薛血靴吷壆岤嶨澩燢狘疶蒆袕觷謔趐踅鱈鷽学泶谑鳕乴坹峃斈桖樰瀥膤艝茓轌辥辪雤鞾鸴
xun	勛勳壎尋巡巽徇循旬殉汛洵潠潯燻荀蕈薰訊訓詢迅遜醺馴侚噀噚塤峋恂愻揗攳曛栒灥焄熏燅燖獯珣璕矄稄紃纁臐蔒蟳迿鄩鱘勋埙寻浔荨训讯询逊驯鲟伨偱勲卂嚑坃壦奞巺廵杊桪樳殾毥爋狥畃薫蘍訙賐鑂顨駨鱏
ya	丫亞呀啞壓崖押氬涯牙琊芽蚜衙訝軋雅鴉鴨伢厊圔圠埡堐婭孲岈庌掗揠枒椏犽猰玡睚砑窫聐蕥襾迓錏齖齾亚压哑垭娅桠氩痖讶轧鸦鸭乛亜俹劜厑厓唖圧崕庘挜漄猚瑘瘂稏笌鐚铔鵶
yan	偃儼兗厭咽唁嚥嚴堰奄妍嫣宴岩巖延彥掩晏檐沿淹湮演炎焉焰煙燄燕眼研硯筵簷縯胭腌艷菸衍言諺豔贗郾醃釅閻雁顏饜驗魘鹽鼴偣傿匽厴喭噞壛壧姲娮嬮嬿孍崦嵃嵒巘弇愝懨戭扊抁掞揅揜敥曣曮棪椻椼楌沇淊渰溎漹灩烻焱爓牪狿猒珚琰甗碞礹綖罨臙芫莚萒虤蜒蝘裺褗觾讌讞躽郔鄢酀酓醼閆閹隒顩騴驠鬳鰋鴈鴳鶠鷃鷰黤黫黭黶齞齴龑严俨兖厌厣彦恹滟烟盐砚艳讠谚谳赝酽闫阉阎阏颜餍验魇鼹乵偐剦厳啱塩墕夵妟姸娫嬊嵓嶖巌巗巚懕昖暥曕樮檿櫩欕渷灎灔灧焑焔熖琂硏硽篶艶葕蔅覎觃訁訮詽豓贋軅遃醶隁顔騐験鳫麣黡黬
yang	樣羊仰佯央徉怏恙揚暘楊殃氧泱洋漾烊煬瘍癢秧鍚陽鞅颺養鴦佒坱垟姎岟崵崸懩抰攁昜柍瀁炴珜痒眻禓紻羕胦蛘蝆軮鉠鐊雵鸉养扬杨样炀疡阳鸯傟劷咉慃敭旸楧様氜氱玚眏礢羏羪詇諹輰钖阦霷飏駚鰑鴹
yao	要藥吆咬堯夭妖姚搖曜杳榣爻瑤窈窯耀肴腰舀謠遙邀鑰餚鷂偠傜喓嗂垚媱宎岆嶢徭愮抭摿柼榚殀溔烑燿猺獟珧眑祅穾窅窔筄繇艞苭葯葽蓔袎覞訞詏軺銚靿顤颻騕鰩鴢鷕尧崾幺摇瑶窑药谣轺遥钥鳐鹞仸倄婹尭峣嶤揺暚枖楆滧熎狕矅磘窰纅薬蘨謡讑邎鎐闄飖餆鴁鼼齩
ye	夜也冶噎掖暍曄曳椰業液爺耶腋葉謁鄴野靨頁埜嶪抴捙揶擛擨擫歋殗漜澲燁瞱蠮鍱鎑鐷饁业叶晔烨爷谒邺铘靥页亪亱倻僷吔啘嘢嚈墷壄嶫捓擪曅曗曵枼枽洂潱爗璍皣瞸礏鄓釾鋣鎁餣馌驜鵺鸈
yi	一以已椅醫宜易乙亦伊佚佾依倚偯儀億刈劓咦咿噫囈圯壹夷奕姨屹帟弈弋彝役怡意憶懿抑揖旖栘毅沂浥溢漪異疑疫痍益睪矣移縊繹義羿翌翳翼肄胰臆藝蜴蟻衣裔訑詣誼譯議貽軼迆迤逸遺邑鎰頤飴驛乂亄伿佁侇俋劮勩匜唈圛垼埶埸墿媐嫕嫛宧寱寲峓崺嶧嶬嶷帠廙异恞悒懌扆拸挹掜敼斁晹暆曀杙枍枻柂栺桋椸槸檍檥檹欥欭殔殪毉沶泆洢浂潩澺瀷焲熠熤熪熼燚燡燱狋猗玴珆瑿瓵瘞瘱眙礒禕稦箷簃繄繶羛羠翊耛耴肊膉艗艤芅苡萓蓺薏藙蘙蛜蛦螔螘衪衵袘裛襼觺詍詑詒誃謻豷貤賹贀跇跠踦轙迻郼酏醳醷釔釴鉯銥鏔鐿陭隿霬靾顊顗饐鮨鳦鶂鷁鷊鷖鷾鸃黓黟黳齮齸义亿仪医呓峄忆怿瘗癔绎缢舣艺蚁衤议译诒诣谊贻轶遗钇铱镒镱颐饴驿乁乊伇兿冝勚匇吚呭呹坄壱夁嬄嬑嬟宐巸幆庡弌弬彛彜彞怈悘悥扅撎攺敡旑曎栧棭椬榏歝殹浳渏湙炈獈畩痬瞖硛祎秇穓竩笖籎苅苢萟虉蛡螠袣裿褹訲訳譩讉讛豙豛貖輢辷逘鈘鈠頉頥駅骮鯣鶃鶍鷧鹝鹢鹥
yin	印吟因垠夤姻寅尹引慇殷氤淫癮胤茵蔭蚓鄞銀陰隱霪音飲冘凐喑噾嚚圁垔垽堙堷婬崟廕愔憖朄檃檭歅殥洇湚濦烎狺猌瘖硍禋窨粌絪苂荶蒑蔩蘟螾蟫裀誾諲讔趛輑酳鈏銦闉霒霠靷韾駰鷣齗吲廴瘾茚荫铟银阴隐饮龈乑乚侌噖囙婣峾崯嶾慭憗懚斦栶檼櫽泿洕淾溵滛濥犾珢璌癊碒磤秵筃緸訔訚訡赺鈝阥陻隂隠鞇飮骃鮣龂
