# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿錒吖锕
chuai	啜揣踹搋膗膪
chuan	船串傳喘川穿舛釧暷椽歂氚汌猭玔瑏舡荈賗踳輲遄鶨传巛钏僢剶篅舩
chuang	窗床創幢愴瘡闖傸凔刱摐磢创怆疮闯刅剏剙噇摤牀牎牕窓窻
chui	吹垂捶槌炊箠錘鎚陲倕圌搥棰腄菙锤埀顀龡
chun	唇春淳純脣蠢醇鶉偆媋惷暙杶椿槆橁漘犉萶蓴賰輴錞鯙鰆鶞纯莼蝽鹑堾旾櫄浱湻滣瑃睶箺萅蒓醕陙
chuo	戳綽輟齪嚽娕娖婥惙擉歠磭腏趠踔逴绰辍辶龊涰繛辵酫鑡
ci	此次伺刺慈瓷疵磁祠茨詞賜辭雌佌佽偨呲嬨庛朿柌栨泚濨玼皉絘縒茈茦莿薋蛓蠀趀跐飺餈骴髊鮆鶿齹糍词赐辞鹚刾垐珁甆礠螆辝辤鴜鷀
cong	從匆叢囪樅淙聰蔥婃孮徖悰慒暰棇欉漎潀熜琮瑽璁瞛蓯藂蟌謥賨鏦驄丛从囱枞聪苁葱骢従忩怱悤憁樬樷漗潨灇焧爜篵緫繱聡聦茐誴賩鍯騘
cou	湊輳腠凑辏
cu	促簇粗蹙蹴醋噈徂憱殂猝瘯蔟觕踧顣麤鼀媨瘄縬脨誎趗蹵麁麄
cuan	爨竄篡巑攛欑汆躥鋑撺窜蹿镩櫕殩熶穳簒鑹
cui	催崔悴摧淬璀瘁粹翠脆萃倅凗啐墔嶉慛榱毳漼濢焠磪竁綷縗脺膬膵趡鏙乼伜啛忰槯獕疩皠粋紣缞翆脃臎襊顇
cun	吋存寸忖村皴刌拵籿踆侟澊竴膥邨
cuo	厝嵯挫措搓撮磋蹉銼錯剉剒夎斮棤瑳痤矬脞莝蒫蓌蔖躦遳醝鹺锉错鹾嵳睉莡虘逪
da	大怛打搭瘩答褡躂達靼韃匒呾咑嗒噠妲撘汏沓炟畣笚笪繨羍耷荅薘迖鎉鎝鐽龘哒达鞑亣剳垯墶溚燵畗眔荙蟽詚跶迏迚逹龖
